zona,area_quartos,enderecos_lista,aluguel
centro,225 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",16.000
centro,484 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",11.000
centro,148 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",3.000
centro,423 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",4.500
centro,258 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",10.000
centro,379 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.500
centro,553 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",15.000
centro,414 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",16.000
centro,638 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",38.289
centro,135 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",3.500
centro,414 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",16.000
centro,"1,040 m² construídos","Centro, Rio De Janeiro Centro, Rio De Janeiro",40.000
centro,260 m² construídos,"Rua Candelária, Centro, Rio De Janeiro Centro, Rio De Janeiro",12.300
centro,354 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",20.000
centro,219 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",17.000
centro,219 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",17.000
centro,212 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",4.000
centro,85 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.200
centro,"1,000 m² construídos","Centro, Rio De Janeiro Centro, Rio De Janeiro",65.000
centro,200 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.200
centro,470 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",21.150
centro,84 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.300
centro,283 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",14.188
centro,379 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.500
centro,"1,299 m² construídos","Centro, Rio De Janeiro Centro, Rio De Janeiro",103.929
centro,"1,200 m² construídos","Cidade Nova, Rio De Janeiro Centro, Rio De Janeiro",78.000
centro,190 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",4.500
centro,350 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.500
centro,638 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",47.861
centro,185 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",6.000
centro,148 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",9.620
centro,149 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.500
centro,155 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.800
centro,500 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",32.500
centro,500 m² construídos6 quartos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",5.000
centro,210 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",12.500
centro,195 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.000
centro,250 m² construídos,"Cidade Nova, Rio De Janeiro Centro, Rio De Janeiro",8.300
centro,375 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",8.800
centro,400 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",6.000
centro,160 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",10.400
centro,450 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",28.000
centro,345 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",20.000
centro,40 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",1.800
centro,94 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",3.000
